"","borough","year","party","seats","leader","clerk","control"
"1499.4","Sutton",1977,"Independent",4,"Robin Squire","TMH Scott","Conservative"
"1500.1","Sutton",1978,"Conservative",47,"Robin Squire","TMH Scott","Conservative"
"1500.2","Sutton",1978,"Labour Party",7,"Robin Squire","TMH Scott","Conservative"
"1500.3","Sutton",1978,"Liberal Democrats",2,"Robin Squire","TMH Scott","Conservative"
"1501.1","Sutton",1979,"Conservative",47,"Robin Squire","TMH Scott","Conservative"
"1501.2","Sutton",1979,"Labour Party",7,"Robin Squire","TMH Scott","Conservative"
"1501.3","Sutton",1979,"Liberal Democrats",2,"Robin Squire","TMH Scott","Conservative"
"1502.1","Sutton",1980,"Conservative",47,"Dr Trafford","TMH Scott","Conservative"
"1502.2","Sutton",1980,"Labour Party",7,"Dr Trafford","TMH Scott","Conservative"
"1502.3","Sutton",1980,"Liberal Democrats",2,"Dr Trafford","TMH Scott","Conservative"
"1503.1","Sutton",1981,"Conservative",47,"Dr Trafford","Alan Taylor","Conservative"
"1503.2","Sutton",1981,"Labour Party",7,"Dr Trafford","Alan Taylor","Conservative"
"1503.3","Sutton",1981,"Liberal Democrats",2,"Dr Trafford","Alan Taylor","Conservative"
"1504.1","Sutton",1982,"Conservative",46,"Dr Trafford","Alan Taylor","Conservative"
"1504.2","Sutton",1982,"Labour Party",7,"Dr Trafford","Alan Taylor","Conservative"
"1504.3","Sutton",1982,"Liberal Democrats",3,"Dr Trafford","Alan Taylor","Conservative"
"1505.1","Sutton",1983,"Conservative",46,"Dr Trafford","Alan Taylor","Conservative"
"1505.2","Sutton",1983,"Labour Party",7,"Dr Trafford","Alan Taylor","Conservative"
"1505.3","Sutton",1983,"Liberal Democrats",3,"Dr Trafford","Alan Taylor","Conservative"
"1506.1","Sutton",1984,"Conservative",46,"Dr Trafford","Alan Taylor","Conservative"
"1506.2","Sutton",1984,"Labour Party",7,"Dr Trafford","Alan Taylor","Conservative"
"1506.3","Sutton",1984,"Liberal Democrats",3,"Dr Trafford","Alan Taylor","Conservative"
"1507.1","Sutton",1985,"Conservative",46,"Dr Trafford","Alan Taylor","Conservative"
"1507.2","Sutton",1985,"Labour Party",7,"Dr Trafford","Alan Taylor","Conservative"
"1507.3","Sutton",1985,"Liberal Democrats",3,"Dr Trafford","Alan Taylor","Conservative"
"1508.1","Sutton",1986,"Liberal Democrats",28,"Graham Tope","Alan Taylor","No Overall Control"
"1508.2","Sutton",1986,"Conservative",21,"Graham Tope","Alan Taylor","No Overall Control"
"1508.3","Sutton",1986,"Labour Party",7,"Graham Tope","Alan Taylor","No Overall Control"
"1509.1","Sutton",1987,"Liberal Democrats",28,"Graham Tope","Alan Taylor","No Overall Control"
"1509.2","Sutton",1987,"Conservative",21,"Graham Tope","Alan Taylor","No Overall Control"
"1509.3","Sutton",1987,"Labour Party",7,"Graham Tope","Alan Taylor","No Overall Control"
"1510.1","Sutton",1988,"Liberal Democrats",28,"Graham Tope","Alan Taylor","No Overall Control"
"1510.2","Sutton",1988,"Conservative",21,"Graham Tope","Alan Taylor","No Overall Control"
"1510.3","Sutton",1988,"Labour Party",7,"Graham Tope","Alan Taylor","No Overall Control"
"1511.1","Sutton",1989,"Liberal Democrats",28,"Graham Tope","Alan Taylor","No Overall Control"
"1511.2","Sutton",1989,"Conservative",21,"Graham Tope","Alan Taylor","No Overall Control"
"1511.3","Sutton",1989,"Labour Party",7,"Graham Tope","Alan Taylor","No Overall Control"
"1512.1","Sutton",1990,"Liberal Democrats",32,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1512.2","Sutton",1990,"Conservative",18,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1512.3","Sutton",1990,"Labour Party",6,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1513.1","Sutton",1991,"Liberal Democrats",32,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1513.2","Sutton",1991,"Conservative",18,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1513.3","Sutton",1991,"Labour Party",6,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1514.1","Sutton",1992,"Liberal Democrats",32,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1514.2","Sutton",1992,"Conservative",18,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1514.3","Sutton",1992,"Labour Party",6,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1515.1","Sutton",1993,"Liberal Democrats",32,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1515.2","Sutton",1993,"Conservative",18,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1515.3","Sutton",1993,"Labour Party",6,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1516.1","Sutton",1994,"Liberal Democrats",47,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1516.2","Sutton",1994,"Labour Party",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1516.3","Sutton",1994,"Conservative",4,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1517.1","Sutton",1995,"Liberal Democrats",47,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1517.2","Sutton",1995,"Labour Party",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1517.3","Sutton",1995,"Conservative",4,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1518.1","Sutton",1996,"Liberal Democrats",47,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1518.2","Sutton",1996,"Labour Party",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1518.3","Sutton",1996,"Conservative",4,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1519.1","Sutton",1997,"Liberal Democrats",47,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1519.2","Sutton",1997,"Labour Party",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1519.3","Sutton",1997,"Conservative",4,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1520.1","Sutton",1998,"Liberal Democrats",46,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1520.2","Sutton",1998,"Conservative",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1520.3","Sutton",1998,"Labour Party",5,"Graham Tope","Patricia Hughes","Liberal Democrat"
"1521.1","Sutton",1999,"Liberal Democrats",46,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1521.2","Sutton",1999,"Conservative",5,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1521.3","Sutton",1999,"Labour Party",5,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1522.1","Sutton",2000,"Liberal Democrats",46,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1522.2","Sutton",2000,"Labour Party",5,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1522.3","Sutton",2000,"Conservative",5,"Mike Cooper","Patricia Hughes","Liberal Democrat"
"1523.1","Sutton",2001,"Liberal Democrats",46,"Mike Cooper","Joanna Simons","Liberal Democrat"
"1523.2","Sutton",2001,"Conservative",5,"Mike Cooper","Joanna Simons","Liberal Democrat"
"1523.3","Sutton",2001,"Labour Party",5,"Mike Cooper","Joanna Simons","Liberal Democrat"
"1524.1","Sutton",2002,"Liberal Democrats",43,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1524.2","Sutton",2002,"Conservative",8,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1524.3","Sutton",2002,"Labour Party",3,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1525.1","Sutton",2003,"Liberal Democrats",43,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1525.2","Sutton",2003,"Conservative",8,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1525.3","Sutton",2003,"Labour Party",3,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1526.1","Sutton",2004,"Liberal Democrats",43,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1526.2","Sutton",2004,"Conservative",8,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1526.3","Sutton",2004,"Labour Party",3,"Sean Brennan","Joanna Simons","Liberal Democrat"
"1527.1","Sutton",2005,"Liberal Democrats",43,"Sean Brennan","Paul Martin","Liberal Democrat"
"1527.2","Sutton",2005,"Conservative",8,"Sean Brennan","Paul Martin","Liberal Democrat"
"1527.3","Sutton",2005,"Labour Party",3,"Sean Brennan","Paul Martin","Liberal Democrat"
"1528.1","Sutton",2006,"Liberal Democrats",32,"Sean Brennan","Paul Martin","Liberal Democrat"
"1528.2","Sutton",2006,"Conservative",22,"Sean Brennan","Paul Martin","Liberal Democrat"
"1529.1","Sutton",2007,"Liberal Democrats",31,"Sean Brennan","Paul Martin","Liberal Democrat"
"1529.2","Sutton",2007,"Conservative",21,"Sean Brennan","Paul Martin","Liberal Democrat"
"1529.3","Sutton",2007,"UK Independence Party",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1529.4","Sutton",2007,"Independent",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1530.1","Sutton",2008,"Liberal Democrats",31,"Sean Brennan","Paul Martin","Liberal Democrat"
"1530.2","Sutton",2008,"Conservative",21,"Sean Brennan","Paul Martin","Liberal Democrat"
"1530.3","Sutton",2008,"Independent",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1530.4","Sutton",2008,"UK Independence Party",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1531.1","Sutton",2009,"Liberal Democrats",32,"Sean Brennan","Paul Martin","Liberal Democrat"
"1531.2","Sutton",2009,"Conservative",20,"Sean Brennan","Paul Martin","Liberal Democrat"
"1531.3","Sutton",2009,"UK Independence Party",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1531.4","Sutton",2009,"Independent",1,"Sean Brennan","Paul Martin","Liberal Democrat"
"1532.1","Sutton",2010,"Liberal Democrats",43,"Sean Brennan","Ian BirnbaumInterim","Liberal Democrat"
"1532.2","Sutton",2010,"Conservative",11,"Sean Brennan","Ian BirnbaumInterim","Liberal Democrat"
"1533.1","Sutton",2011,"Liberal Democrats",43,"Sean Brennan","Niall Bolger","Liberal Democrat"
"1533.2","Sutton",2011,"Conservative",11,"Sean Brennan","Niall Bolger","Liberal Democrat"
"1534.1","Sutton",2012,"Liberal Democrats",43,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1534.2","Sutton",2012,"Conservative",11,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1535.1","Sutton",2013,"Liberal Democrats",43,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1535.2","Sutton",2013,"Conservative",11,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1536.1","Sutton",2014,"Liberal Democrats",45,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1536.2","Sutton",2014,"Conservative",9,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1537.1","Sutton",2015,"Liberal Democrats",44,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1537.2","Sutton",2015,"Conservative",8,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1537.3","Sutton",2015,"Independent",2,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1538.1","Sutton",2016,"Liberal Democrats",44,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1538.2","Sutton",2016,"Conservative",8,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1538.3","Sutton",2016,"Independent",2,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1539.1","Sutton",2017,"Liberal Democrats",43,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1539.2","Sutton",2017,"Conservative",8,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1539.3","Sutton",2017,"Independent",2,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1539.4","Sutton",2017,"Vacancies",1,"Ruth Dombey","Niall Bolger","Liberal Democrat"
"1540.1","Sutton",2018,"Liberal Democrats",33,"Ruth Dombey","Helen Bailey","Liberal Democrat"
"1540.2","Sutton",2018,"Conservative",18,"Ruth Dombey","Helen Bailey","Liberal Democrat"
"1540.3","Sutton",2018,"Independent",3,"Ruth Dombey","Helen Bailey","Liberal Democrat"
"1541.1","Tower Hamlets",1964,"Labour Party",55,"John Orwell","Jack Wolkind","Labour"
"1541.2","Tower Hamlets",1964,"Communist Party",3,"John Orwell","Jack Wolkind","Labour"
"1541.3","Tower Hamlets",1964,"Independent",2,"John Orwell","Jack Wolkind","Labour"
"1542.1","Tower Hamlets",1965,"Labour Party",55,"John Orwell","Jack Wolkind","Labour"
"1542.2","Tower Hamlets",1965,"Independent",5,"John Orwell","Jack Wolkind","Labour"
"1543.1","Tower Hamlets",1966,"Labour Party",55,"John Orwell","Jack Wolkind","Labour"
"1543.2","Tower Hamlets",1966,"Independent",5,"John Orwell","Jack Wolkind","Labour"
"1544.1","Tower Hamlets",1967,"Labour Party",55,"John Orwell","Jack Wolkind","Labour"
"1544.2","Tower Hamlets",1967,"Independent",5,"John Orwell","Jack Wolkind","Labour"
"1545.1","Tower Hamlets",1968,"Labour Party",57,"John Orwell","Jack Wolkind","Labour"
"1545.2","Tower Hamlets",1968,"Independent",3,"John Orwell","Jack Wolkind","Labour"
"1546.1","Tower Hamlets",1969,"Labour Party",57,"John Orwell","Jack Wolkind","Labour"
"1546.2","Tower Hamlets",1969,"Independent",3,"John Orwell","Jack Wolkind","Labour"
"1547.1","Tower Hamlets",1970,"Labour Party",57,"John Orwell","Jack Wolkind","Labour"
"1547.2","Tower Hamlets",1970,"Independent",3,"John Orwell","Jack Wolkind","Labour"
"1548","Tower Hamlets",1971,"Labour Party",60,"John Orwell","Jack Wolkind","Labour"
"1549","Tower Hamlets",1972,"Labour Party",60,"John Orwell","Jack Wolkind","Labour"
"1550","Tower Hamlets",1973,"Labour Party",60,"John Orwell","Jack Wolkind","Labour"
"1551","Tower Hamlets",1974,"Labour Party",60,"Paul Beasley","Jack Wolkind","Labour"
"1552","Tower Hamlets",1975,"Labour Party",60,"Paul Beasley","Jack Wolkind","Labour"
"1553","Tower Hamlets",1976,"Labour Party",60,"Paul Beasley","Jack Wolkind","Labour"
"1554","Tower Hamlets",1977,"Labour Party",60,"Paul Beasley","Jack Wolkind","Labour"
"1555.1","Tower Hamlets",1978,"Labour Party",43,"Paul Beasley","Jack Wolkind","Labour"
"1555.2","Tower Hamlets",1978,"Liberal Democrats",7,"Paul Beasley","Jack Wolkind","Labour"
"1556.1","Tower Hamlets",1979,"Labour Party",43,"Paul Beasley","Jack Wolkind","Labour"
"1556.2","Tower Hamlets",1979,"Liberal Democrats",7,"Paul Beasley","Jack Wolkind","Labour"
"1557.1","Tower Hamlets",1980,"Labour Party",43,"Paul Beasley","Jack Wolkind","Labour"
"1557.2","Tower Hamlets",1980,"Liberal Democrats",7,"Paul Beasley","Jack Wolkind","Labour"
"1558.1","Tower Hamlets",1981,"Labour Party",43,"Paul Beasley","Jack Wolkind","Labour"
"1558.2","Tower Hamlets",1981,"Liberal Democrats",7,"Paul Beasley","Jack Wolkind","Labour"
"1559.1","Tower Hamlets",1982,"Labour Party",31,"Paul Beasley","Jack Wolkind","Labour"
"1559.2","Tower Hamlets",1982,"Liberal Democrats",18,"Paul Beasley","Jack Wolkind","Labour"
"1559.3","Tower Hamlets",1982,"Independent",1,"Paul Beasley","Jack Wolkind","Labour"
"1560.1","Tower Hamlets",1983,"Labour Party",31,"Paul Beasley","Jack Wolkind","Labour"
"1560.2","Tower Hamlets",1983,"Liberal Democrats",18,"Paul Beasley","Jack Wolkind","Labour"
"1560.3","Tower Hamlets",1983,"Independent",1,"Paul Beasley","Jack Wolkind","Labour"
"1561.1","Tower Hamlets",1984,"Labour Party",31,"John Riley","Jack Wolkind","Labour"
"1561.2","Tower Hamlets",1984,"Liberal Democrats",18,"John Riley","Jack Wolkind","Labour"
"1561.3","Tower Hamlets",1984,"Independent",1,"John Riley","Jack Wolkind","Labour"
"1562.1","Tower Hamlets",1985,"Labour Party",31,"John Riley","Jack Wolkind","Labour"
"1562.2","Tower Hamlets",1985,"Liberal Democrats",18,"John Riley","Jack Wolkind","Labour"
"1562.3","Tower Hamlets",1985,"Independent",1,"John Riley","Jack Wolkind","Labour"
"1563.1","Tower Hamlets",1986,"Liberal Democrats",26,"Eric Flounders","Daniel Regan","Liberal Democrat"
"1563.2","Tower Hamlets",1986,"Labour Party",24,"Eric Flounders","Daniel Regan","Liberal Democrat"
"1564.1","Tower Hamlets",1987,"Liberal Democrats",26,"Chris Birt","Alan Tobias & Charles Lea","Liberal Democrat"
"1564.2","Tower Hamlets",1987,"Labour Party",24,"Chris Birt","Alan Tobias & Charles Lea","Liberal Democrat"
"1565.1","Tower Hamlets",1988,"Liberal Democrats",26,"Brenda Collins","John McBride","Liberal Democrat"
"1565.2","Tower Hamlets",1988,"Labour Party",24,"Brenda Collins","John McBride","Liberal Democrat"
"1566.1","Tower Hamlets",1989,"Liberal Democrats",26,"Brenda Collins","John McBride","Liberal Democrat"
"1566.2","Tower Hamlets",1989,"Labour Party",24,"Brenda Collins","John McBride","Liberal Democrat"
"1567.1","Tower Hamlets",1990,"Liberal Democrats",29,"Eric Flounders","Keith Ivory & Tom Herbert","Liberal Democrat"
"1567.2","Tower Hamlets",1990,"Labour Party",20,"Eric Flounders","Keith Ivory & Tom Herbert","Liberal Democrat"
"1567.3","Tower Hamlets",1990,"Vacancies",1,"Eric Flounders","Keith Ivory & Tom Herbert","Liberal Democrat"
"1568.1","Tower Hamlets",1991,"Liberal Democrats",29,"Peter Hughes","Albert Golding","Liberal Democrat"
"1568.2","Tower Hamlets",1991,"Labour Party",21,"Peter Hughes","Albert Golding","Liberal Democrat"
"1569.1","Tower Hamlets",1992,"Liberal Democrats",29,"Peter Hughes","Albert Golding","Liberal Democrat"
"1569.2","Tower Hamlets",1992,"Labour Party",21,"Peter Hughes","Albert Golding","Liberal Democrat"
"1570.1","Tower Hamlets",1993,"Liberal Democrats",29,"Peter Hughes","Albert Golding","Liberal Democrat"
"1570.2","Tower Hamlets",1993,"Labour Party",21,"Peter Hughes","Albert Golding","Liberal Democrat"
"1571.1","Tower Hamlets",1994,"Labour Party",43,"John Biggs","Sylvia Dean","Labour"
"1571.2","Tower Hamlets",1994,"Liberal Democrats",7,"John Biggs","Sylvia Dean","Labour"
"1572.1","Tower Hamlets",1995,"Labour Party",43,"Dennis Twomey","Sylvie Pierce","Labour"
"1572.2","Tower Hamlets",1995,"Liberal Democrats",7,"Dennis Twomey","Sylvie Pierce","Labour"
"1573.1","Tower Hamlets",1996,"Labour Party",43,"Dennis Twomey","Sylvie Pierce","Labour"
"1573.2","Tower Hamlets",1996,"Liberal Democrats",7,"Dennis Twomey","Sylvie Pierce","Labour"
"1574.1","Tower Hamlets",1997,"Labour Party",43,"Michael Keith","Sylvie Pierce","Labour"
"1574.2","Tower Hamlets",1997,"Liberal Democrats",7,"Michael Keith","Sylvie Pierce","Labour"
"1575.1","Tower Hamlets",1998,"Labour Party",41,"Julia Mainwaring","Sylvie Pierce","Labour"
"1575.2","Tower Hamlets",1998,"Liberal Democrats",9,"Julia Mainwaring","Sylvie Pierce","Labour"
"1576.1","Tower Hamlets",1999,"Labour Party",41,"Michael Keith","Eleanor Kelly","Labour"
"1576.2","Tower Hamlets",1999,"Liberal Democrats",9,"Michael Keith","Eleanor Kelly","Labour"
"1577.1","Tower Hamlets",2000,"Labour Party",41,"Michael Keith","Christine Gilbert","Labour"
"1577.2","Tower Hamlets",2000,"Liberal Democrats",8,"Michael Keith","Christine Gilbert","Labour"
"1577.3","Tower Hamlets",2000,"Independent",1,"Michael Keith","Christine Gilbert","Labour"
"1578.1","Tower Hamlets",2001,"Labour Party",42,"Helal Abbas","Christine Gilbert","Labour"
"1578.2","Tower Hamlets",2001,"Liberal Democrats",7,"Helal Abbas","Christine Gilbert","Labour"
"1578.3","Tower Hamlets",2001,"Independent",1,"Helal Abbas","Christine Gilbert","Labour"
"1579.1","Tower Hamlets",2002,"Labour Party",35,"Helal Abbas","Christine Gilbert","Labour"
"1579.2","Tower Hamlets",2002,"Liberal Democrats",16,"Helal Abbas","Christine Gilbert","Labour"
"1580.1","Tower Hamlets",2003,"Labour Party",35,"Helal Abbas","Christine Gilbert","Labour"
"1580.2","Tower Hamlets",2003,"Liberal Democrats",16,"Helal Abbas","Christine Gilbert","Labour"
"1581.1","Tower Hamlets",2004,"Labour Party",33,"Helal Abbas","Christine Gilbert","Labour"
"1581.2","Tower Hamlets",2004,"Liberal Democrats",16,"Helal Abbas","Christine Gilbert","Labour"
"1581.3","Tower Hamlets",2004,"Respect Party",1,"Helal Abbas","Christine Gilbert","Labour"
"1582.1","Tower Hamlets",2005,"Labour Party",31,"Michael Keith","Christine Gilbert","Labour"
"1582.2","Tower Hamlets",2005,"Liberal Democrats",15,"Michael Keith","Christine Gilbert","Labour"
"1582.3","Tower Hamlets",2005,"Independent",2,"Michael Keith","Christine Gilbert","Labour"
"1582.4","Tower Hamlets",2005,"Independent Liberal Democrats",1,"Michael Keith","Christine Gilbert","Labour"
"1582.5","Tower Hamlets",2005,"Respect Party",1,"Michael Keith","Christine Gilbert","Labour"
"1582.6","Tower Hamlets",2005,"Conservative",1,"Michael Keith","Christine Gilbert","Labour"
"1583.1","Tower Hamlets",2006,"Labour Party",26,"Denise Jones","Ian Wilson","Labour"
"1583.2","Tower Hamlets",2006,"Respect Party",12,"Denise Jones","Ian Wilson","Labour"
"1583.3","Tower Hamlets",2006,"Conservative",7,"Denise Jones","Ian Wilson","Labour"
"1583.4","Tower Hamlets",2006,"Liberal Democrats",6,"Denise Jones","Ian Wilson","Labour"
"1584.1","Tower Hamlets",2007,"Labour Party",27,"Denise Jones","Martin Smith","Labour"
"1584.2","Tower Hamlets",2007,"Respect Party",11,"Denise Jones","Martin Smith","Labour"
"1584.3","Tower Hamlets",2007,"Conservative",7,"Denise Jones","Martin Smith","Labour"
"1584.4","Tower Hamlets",2007,"Liberal Democrats",6,"Denise Jones","Martin Smith","Labour"
"1585.1","Tower Hamlets",2008,"Labour Party",28,"Lutfur Rahman","Martin Smith","Labour"
"1585.2","Tower Hamlets",2008,"Respect Party",10,"Lutfur Rahman","Martin Smith","Labour"
"1585.3","Tower Hamlets",2008,"Conservative",8,"Lutfur Rahman","Martin Smith","Labour"
"1585.4","Tower Hamlets",2008,"Liberal Democrats",5,"Lutfur Rahman","Martin Smith","Labour"
"1586.1","Tower Hamlets",2009,"Labour Party",33,"Lutfur Rahman","Kevan Collins","Labour"
"1586.2","Tower Hamlets",2009,"Conservative",8,"Lutfur Rahman","Kevan Collins","Labour"
"1586.3","Tower Hamlets",2009,"Respect Party",6,"Lutfur Rahman","Kevan Collins","Labour"
"1586.4","Tower Hamlets",2009,"Liberal Democrats",4,"Lutfur Rahman","Kevan Collins","Labour"
"1587.1","Tower Hamlets",2010,"Labour Party",41,"Helal Uddin Abbas","Kevan Collins","Labour"
"1587.2","Tower Hamlets",2010,"Conservative",8,"Helal Uddin Abbas","Kevan Collins","Labour"
"1587.3","Tower Hamlets",2010,"Liberal Democrats",1,"Helal Uddin Abbas","Kevan Collins","Labour"
"1587.4","Tower Hamlets",2010,"Respect Party",1,"Helal Uddin Abbas","Kevan Collins","Labour"
"1588.1","Tower Hamlets",2011,"Labour Party",32,"Lutfur Rahman","Aman Dalvi","Tower Hamlets First"
"1588.2","Tower Hamlets",2011,"Independent",9,"Lutfur Rahman","Aman Dalvi","Tower Hamlets First"
"1588.3","Tower Hamlets",2011,"Conservative",7,"Lutfur Rahman","Aman Dalvi","Tower Hamlets First"
"1588.4","Tower Hamlets",2011,"Respect Party",2,"Lutfur Rahman","Aman Dalvi","Tower Hamlets First"
"1588.5","Tower Hamlets",2011,"Liberal Democrats",1,"Lutfur Rahman","Aman Dalvi","Tower Hamlets First"
"1589.1","Tower Hamlets",2012,"Labour Party",27,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1589.2","Tower Hamlets",2012,"Independent",14,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1589.3","Tower Hamlets",2012,"Conservative",7,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1589.4","Tower Hamlets",2012,"Respect Party",2,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1589.5","Tower Hamlets",2012,"Liberal Democrats",1,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1590.1","Tower Hamlets",2013,"Labour Party",27,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1590.2","Tower Hamlets",2013,"Independent",14,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1590.3","Tower Hamlets",2013,"Conservative",7,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1590.4","Tower Hamlets",2013,"Respect Party",2,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1590.5","Tower Hamlets",2013,"Liberal Democrats",1,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1591.1","Tower Hamlets",2014,"Labour Party",22,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1591.2","Tower Hamlets",2014,"Independent",18,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1591.3","Tower Hamlets",2014,"Conservative",5,"Lutfur Rahman","Stephen Halsey","Tower Hamlets First"
"1592.1","Tower Hamlets",2015,"Labour Party",23,"John Biggs","Unknown","Labour"
"1592.2","Tower Hamlets",2015,"Independent",17,"John Biggs","Unknown","Labour"
"1592.3","Tower Hamlets",2015,"Conservative",5,"John Biggs","Unknown","Labour"
"1593.1","Tower Hamlets",2016,"Labour Party",23,"John Biggs","Will Tuckley","Labour"
"1593.2","Tower Hamlets",2016,"Independent",17,"John Biggs","Will Tuckley","Labour"
"1593.3","Tower Hamlets",2016,"Conservative",5,"John Biggs","Will Tuckley","Labour"
"1594.1","Tower Hamlets",2017,"Labour Party",23,"John Biggs","Will Tuckley","Labour"
"1594.2","Tower Hamlets",2017,"Independent",16,"John Biggs","Will Tuckley","Labour"
"1594.3","Tower Hamlets",2017,"Conservative",5,"John Biggs","Will Tuckley","Labour"
"1594.4","Tower Hamlets",2017,"Liberal Democrats",1,"John Biggs","Will Tuckley","Labour"
"1595.1","Tower Hamlets",2018,"Labour Party",42,"John Biggs","Will Tuckley","Labour"
"1595.2","Tower Hamlets",2018,"Conservative",2,"John Biggs","Will Tuckley","Labour"
"1595.3","Tower Hamlets",2018,"People’s Alliance of Tower Hamlets",1,"John Biggs","Will Tuckley","Labour"
"1596.1","Waltham Forest",1964,"Labour Party",36,"Herbert Palethorpe","Edna A Cann","Labour"
"1596.2","Waltham Forest",1964,"Independent",9,"Herbert Palethorpe","Edna A Cann","Labour"
"1596.3","Waltham Forest",1964,"Conservative",3,"Herbert Palethorpe","Edna A Cann","Labour"
"1597.1","Waltham Forest",1965,"Labour Party",36,"Herbert Palethorpe","Edna A Cann","Labour"
"1597.2","Waltham Forest",1965,"Independent",9,"Herbert Palethorpe","Edna A Cann","Labour"
"1597.3","Waltham Forest",1965,"Conservative",3,"Herbert Palethorpe","Edna A Cann","Labour"
"1598.1","Waltham Forest",1966,"Labour Party",36,"Herbert Palethorpe","Edna A Cann","Labour"
"1598.2","Waltham Forest",1966,"Independent",9,"Herbert Palethorpe","Edna A Cann","Labour"
"1598.3","Waltham Forest",1966,"Conservative",3,"Herbert Palethorpe","Edna A Cann","Labour"
"1599.1","Waltham Forest",1967,"Labour Party",36,"Herbert Palethorpe","Edna A Cann","Labour"
"1599.2","Waltham Forest",1967,"Independent",9,"Herbert Palethorpe","Edna A Cann","Labour"
"1599.3","Waltham Forest",1967,"Conservative",3,"Herbert Palethorpe","Edna A Cann","Labour"
"1600.1","Waltham Forest",1968,"Conservative",44,"Tom Brandon","Edna A Cann","Conservative"
"1600.2","Waltham Forest",1968,"Labour Party",4,"Tom Brandon","Edna A Cann","Conservative"
